name,description,category,url
SBIO Graduate Students Association,"The mission of the Sustainable Biomaterials Graduate Student Association is to serve the graduate students of the Department of Sustainable Biomaterials by enhancing their academic, professional, and social belonging.",Academic,https://gobblerconnect.vt.edu/sbgsa/
School of Neuroscience Student Ambassadors,"The School of Neuroscience Student Ambassadors is an organization of undergraduate students who are dedicated to establishing a community within the school through peer mentoring, event planning, and acting as representatives for the department.",Academic,https://neuroscience.vt.edu/undergraduate/current-undergraduate-students/st-ambassadors.html
Science and Technology Studies Graduate Student Organization,"An organization for graduate students interested in science and technology issues at the intersection of philosophy, history, sociology, and policy.",Academic,https://gobblerconnect.vt.edu/stsgso/
Science Fiction and Fantasy Club at Virginia Tech,"The Science Fiction and Fantasy Club at Virginia Tech exists to promote and create science fiction and fantasy, in various media forms, to the Virginia Tech and surrounding communities.",Enthusiasts & Special Interests,https://gobblerconnect.vt.edu/vtsffc/
Science Olympiad at Virginia Tech,Science Olympiad at Virginia Tech (SO@VT) is a non-profit student chapter of Virginia Science Olympiad (VASO) that hosts tournaments for middle and high school Science Olympiad teams to compete in across various STEM topics.,Academic,https://www.sciolyvt.org/
Science Policy Education and Advocacy Club,"SPEAC empowers graduate and undergraduate students to connect science and policy through workshops, networking, and real-world engagement. Join us to build communication skills, explore science-policy careers, and make an impact.",Academic,https://speacvt.wixsite.com/sciencepolicyvt
Scientistas at Virginia Tech,"Scientistas at Virginia Tech strives to empower, support, and connect undergraduate and graduate women in STEM. We offer mentorship, workshop, and networking opportunities that can empower women and help them succeed with their current and future goals.",Academic,https://gobblerconnect.vt.edu/scientistas/
Scuba Club at Virginia Tech,"The Scuba Club at Virginia Tech promotes SCUBA diving and dive safety through classes, trips, training, and meetings throughout the school year.",Recreation,https://sites.google.com/vt.edu/scvt/home?authuser=0
Second Degree Ultimate Frisbee Club,"Open, developmental ultimate frisbee team at Virginia Tech",Recreation,https://gobblerconnect.vt.edu/seconddegreeultimate/
Seek Christian Community at Virginia Tech,"We seek to provide a safe and welcoming place for community to enable students from all backgrounds to explore their faith and to experience, learn, and share the love of Christ. Together, we want to seek answers to life’s questions and what it means to be Christian in the world today.We host…",Recreation,https://vtseek.org
Semiconductor Student Alliance at Virginia Tech,The Semiconductor Student Alliance is a registered student organization dedicated to building awareness and engagement in the semiconductor industry. We are open to all majors.,Academic,https://www.vtssa.org/
Sensations A Cappella,"Sensations is an all-women a cappella group founded in 2003. We enjoy performing on the Virginia Tech campus, for the Blacksburg community, as well as traveling for gigs, competitions, and socials!",Arts & Entertainment,https://www.sensationsacappella.com/
Service Without Borders,"Service Without Borders is a trans-disciplinary, student-led organization whose mission is to share the spirit of Virginia Tech’s motto, Ut Prosim, locally and globally by partnering with communities in need through cross-cultural exchanges.",Advocacy & Awareness,https://gobblerconnect.vt.edu/swbvt/
Shorts at Virginia Tech,"Shorts at Virginia Tech is Virginia Tech’s first student-led short-form media studio, built to empower creators and build community through content.",Arts & Entertainment,https://gobblerconnect.vt.edu/shortsvirginiatech/
Shredquarters at Virginia Tech,"Welcome all! We are Shredquarters at Virginia Tech, a skate club. We are open to new and experienced skaters. Even if you don't skateboard or longboard we include scooters, roller skates, or anything on wheels. Please come and shred with us!",Arts & Entertainment,https://shredquarters-vt-git-production-red-cs.vercel.app/
SIAM Student Chapter,"Officially sponsored by the Society for Industrial and Applied Mathematics, our chapter provides a platform for students in math-related disciplines to share their research, learn from others, and network with renowned professionals.",Academic,http://www.vtsiam.com
Sigma Alpha,"Sigma Alpha Sorority is a social and professional agricultural sorority that promotes scholarship, leadership, service and fellowship among its members.",Academic,https://gobblerconnect.vt.edu/sigmaalpha/
Sigma Alpha Omega,"Sigma Alpha Omega is a national Christian social sorority (all denominations welcome!) that focuses on sisterhood, service projects, academics and healthy social activities!",Religious,https://www.sigmaalphaomega.org
Sigma Delta Pi,"Sigma Delta Pi’s strives to honor and recognize those who excel in their Spanish studies, foster an understanding of Hispanic cultures, and promote acquisition of the Spanish language.",Academic,https://gobblerconnect.vt.edu/sdpvt/
Sigma Gamma Epsilon Chapter Alpha Mu,"Earth Science honor fraternity at Virginia Tech dedicated to helping members create and improve their professional skills, scholarship, and scientific adeptness through service and intellectual development.",Academic,https://gobblerconnect.vt.edu/alphamu/
"Sigma Gamma Rho Sorority, Inc.","Due to five phenomenal women, the Kappa Psi chapter has been on this campus since 1985. Through public service, leadership development, and education of the youth, Sigma women strive to better themselves and the community.",Cultural & International,https://gobblerconnect.vt.edu/sgrho/
Sigma Gamma Tau National Aerospace Honor Society,"The student chapter of Sigma Gamma Tau at Virginia Tech acts to recognize students in the field of Aeronautics and Astronautics who have, through scholarship, integrity, and outstanding achievement, been a credit to their profession.",Academic,https://www.aoe.vt.edu/undergraduate/student-organizations.html
Sigma Lambda Alpha,Landscape Architecture Honors Fraternity Students are eligible to join through academic excellence within the major of Landscape Architecture. SLA hosts events with ASLAVT (American Society of Landscape Architects at Virginia Tech),Honor Society,http://lar.vt.edu/
Sigma Omega Upsilon,"Sigma Omega Upsilon is a co-ed international business fraternity, open to all majors, that strives to create a network on a global scale in which to interact and achieve.",Academic,http://souatvt.org/
